NO,FORMULA,COMPOUND NAME,MOLWT,TFP,TBP,TC,PC,VC,LDEN,TDEN,HVAP,VISA,VISB,DELHF,DELGF,CPVAPA,CPVAPB,CPVAPC,CPVAPD,ANTA,ANTB,ANTC,TMN,TMX,,title
28,Kr,KRYPTON,83.8,-157.4,-153.4,209.4,55,0.091,2420,-153,9667,,,,,,,,,15.2677,958.75,-8.71,-160,-144,,"Kr, KRYPTON"
29,NO,NITRIC OXIDE,30.006,-163.7,-151.8,180,64.8,0.058,1280,-152,13816,,,90.43,86.75,29.345,-9.38E-04,9.75E-06,-4.19E-09,20.1314,1572.52,-4.88,-178,-133,,"NO, NITRIC OXIDE"
30,NO2,NITROGEN DIOXIDE,46.006,-11.3,21.1,431.4,101.3,0.17,1447,20,19071,406.2,230.21,33.87,52,24.233,4.84E-02,-2.08E-05,2.93E-10,20.5324,4141.29,3.65,-43,47,,"NO2, NITROGEN DIOXIDE"
31,N2,NITROGEN,28.013,-209.9,-195.8,126.2,33.9,0.09,805,-195,5581,90.3,46.14,,,31.15,-1.36E-02,2.68E-05,-1.17E-08,14.9542,588.72,-6.6,-219,-183,,"N2, NITROGEN"
32,N20,NITROUS OXIDE,44.013,-90.9,-88.5,309.6,72.4,0.097,1226,-90,16559,,,81.6,103.71,21.621,7.28E-02,-5.78E-05,1.83E-08,16.1271,1506.49,25.99,-129,-73,,"N20, NITROUS OXIDE"
33,Ne,NEON,20.183,-248.7,-246.2,44.4,27.6,0.042,1204,-246,1842,,,,,20.786,,,,14.0099,180.47,-2.61,-249,-244,,"Ne, NEON"
34,O2,OXYGEN,31.999,-218.8,-183,154.6,50.5,0.073,1149,-183,6824,85.68,51.5,,,28.106,-3.68E-06,1.75E-05,-1.07E-08,15.4075,734.55,-6.45,-210,-173,,"O2, OXYGEN"
35,O2S,SULPHUR DIOXIDE,64.063,-75.5,-10.2,430.8,78.8,0.122,1455,-10,24932,397.85,208.42,-297.05,-300.36,23.852,6.70E-02,-4.96E-05,1.33E-08,16.768,2302.35,-35.97,-78,7,,"O2S, SULPHUR DIOXIDE"
36,O3,OZONE,47.998,-192.7,-111.9,261,55.7,0.089,1356,-112,11179,313.79,120.34,142.77,162.91,20.545,8.01E-02,-6.24E-05,1.70E-08,15.7427,1272.18,-22.16,-164,-99,,"O3, OZONE"
37,O3S,SULPHUR TRIOXIDE,80.058,16.8,44.8,491,82.1,0.13,1780,45,40679,1372.8,315.99,-395.53,-370.62,16.37,1.46E-01,-1.12E-04,3.24E-08,20.8403,3995.7,-36.66,17,59,,"O3S, SULPHUR TRIOXIDE"
38,Xe,XENON,131.3,-111.9,-108.2,289.7,58.4,0.118,3060,-108,13013,,,,,,,,,15.2958,1303.92,-14.5,-115,-95,,"Xe, XENON"
39,CBrF3,TRIFLUOROBROMOMETHANE,148.91,,-59.2,340.2,39.7,0.2,,,,,,-649.37,-623,,,,,,,,,,,"CBrF3, TRIFLUOROBROMOMETHANE"
40,CClF3,CHLOROTRIFLUOROMETHANE,104.459,-181.2,-81.5,302,39.2,0.18,,,"15,516",,,-695.01,-654.4,22.814,1.91E-01,-1.58E-04,4.46E-08,,,,,,,"CClF3, CHLOROTRIFLUOROMETHANE"
41,CCl2F2,DICHLORODIFLUOROMETHANE,120.914,-157.8,-29.8,385,41.2,0.217,1750,-115,"19,979",215.09,165.55,-481.48,-442.54,31.598,1.78E-01,-1.51E-04,4.34E-08,,,,,,,"CCl2F2, DICHLORODIFLUOROMETHANE"
42,CCl2O,PHOSGENE,98.916,-128.2,7.6,455,56.7,0.19,1361,20,"24,409",,,-221.06,-206.91,28.089,1.36E-01,-1.37E-04,5.07E-08,15.7565,2167.31,-43.15,-60,68,,"CCl2O, PHOSGENE"
43,CCl3F,TRICHLOROFLUOROMETHANE,137.368,-111.2,23.8,471.2,44.1,0.248,,,"24,786",,,-284.7,-245.51,40.985,1.63E-01,-1.42E-04,4.15E-08,15.8516,2401.61,-36.3,-33,27,,"CCl3F, TRICHLOROFLUOROMETHANE"
44,CCl4,CARBON TETRACHLORIDE,153.823,-23.2,76.5,556.4,45.6,0.276,1584,25,"30,019",540.15,290.84,-100.48,-58.28,40.717,2.05E-01,-2.27E-04,8.84E-08,15.8742,2808.19,-45.99,-20,101,,"CCl4, CARBON TETRACHLORIDE"
45,CF4,CARBON TETRAFLUORIDE,88.005,-186.8,-128,227.6,37.4,0.14,,,"11,974",,,-933.66,-889.03,13.98,2.03E-01,-1.63E-04,4.51E-08,16.0543,1244.55,-13.06,-180,-125,,"CF4, CARBON TETRAFLUORIDE"
46,CO,CARBON MONOXIDE,28.01,-205.1,-191.5,132.9,35,0.093,803,-192,6046,94.06,48.9,-110.62,-137.37,30.869,-1.29E-02,2.79E-05,-1.27E-08,14.3686,530.22,-13.15,-210,-165,,"CO, CARBON MONOXIDE"
47,COS,CARBONYL SULPHIDE,60.07,-138.9,-50.3,375,58.8,0.14,1274,-99,,,,-138.5,-165.76,23.567,7.98E-02,-7.02E-05,2.45E-08,,,,,,,"COS, CARBONYL SULPHIDE"
48,CO2,CARBON DIOXIDE,44.01,-56.6,-78.5,304.2,73.8,0.094,777,20,"17,166",578.08,185.24,-393.77,-394.65,19.795,7.34E-02,-5.60E-05,1.72E-08,22.5898,3103.39,-0.16,-119,-69,,"CO2, CARBON DIOXIDE"
49,CS2,CARBON DISULPHIDE,76.131,-111.9,46.2,552,79,0.17,1293,0,"26,754",274.08,200.22,117.15,66.95,27.444,8.13E-02,-7.67E-05,2.67E-08,15.9844,2690.85,-31.62,-45,69,,"CS2, CARBON DISULPHIDE"
50,CHBr3,BROMOFORM,94.94,-178.3,3.5,464,66.1,0.162,1733,0,"24,241",,,-36.34,,,,,,15.7078,3163.17,-72.18,101,30,,"CHBr3, BROMOFORM"
51,CHClF2,CHLORODIFLUOROMETHANE,86.469,-160.2,-40.8,369.2,49.8,0.165,1230,16,"20,205",,,-502,-470.89,17.3,1.62E-01,-1.17E-04,3.06E-08,15.5602,1704.8,-41.3,-48,-33,,"CHClF2, CHLORODIFLUOROMETHANE"
